,"Companion data with the paper ""Investigating the impact of adopting Python and C languages for introductory engineering programming courses"" submitted to Computer Applications in Engineering Education Journal. If you use this data, please include a reference to the paper.",,,,,,,,,,,,,
C,S1 - Did you have previous programming knowledge before the course?,S2.1 - How confident are you about your programming skills for problem-solving in general? ,S2.2 - How confident are you about your programming skills for problem-solving in your study field?,"S3.1 - How difficult was your understanding of ""basic algorithm and programming""?","S3.2 - How difficult was your understanding of ""sequential programming""?","S3.3 - How difficult was your understanding of ""selection programming""?","S3.4 - How difficult was your understanding of ""iterative programming""?","S3.5 - How difficult was your understanding of ""basic data structures""?","S3.6 - How difficult was your understanding of ""sub-programming""?","S3.7 - How difficult was your understanding of ""structured data types""?","S3.8 - How difficult was your understanding of ""text files""?",S4.1 - How dedicated were you along the course regarding the theory classes?,S4.2 - How dedicated were you along the course regarding the practice classes?,S5 - How much do you intend to keep on studying programming?
1,No,5,5,3,1,1,1,1,2,2,2,4,4,5
2,No,4,3,3,3,3,3,3,3,3,3,4,4,4
3,No,3,4,1,2,2,1,2,2,1,2,3,3,5
4,No,2,3,3,3,3,3,3,5,3,3,4,5,3
5,No,2,1,3,3,3,3,4,4,4,3,4,4,5
6,No,3,4,1,2,1,2,2,3,2,2,5,4,5
7,Yes,4,4,3,3,3,3,3,3,3,3,5,5,5
8,No,3,4,2,2,2,2,4,4,4,3,4,4,4
9,Yes,4,4,3,2,3,3,3,4,3,4,4,4,5
10,No,3,4,3,3,4,3,4,4,3,3,4,3,2
11,No,4,4,2,1,2,2,3,3,3,5,3,2,5
12,No,4,4,2,2,2,2,4,2,4,4,4,1,4
13,Yes,4,4,2,1,2,2,2,2,2,2,3,4,5
14,No,3,2,2,2,3,3,3,3,4,5,4,3,3
15,No,3,3,3,2,2,3,3,3,2,1,4,2,3
16,No,3,3,1,2,3,3,4,5,3,4,4,5,4
17,No,4,3,1,2,1,2,2,1,3,3,2,1,4
18,No,3,2,5,4,4,4,4,3,3,5,5,5,1
19,Yes,4,3,1,1,2,2,3,3,2,2,2,4,5
20,No,4,1,1,1,1,2,2,3,4,4,4,4,5
21,No,3,3,3,3,2,2,3,3,3,4,4,3,5
22,No,4,4,2,2,2,2,2,2,3,3,3,5,5
23,No,2,2,2,2,2,2,4,4,4,4,3,4,2
24,No,3,5,3,3,3,3,3,3,3,3,3,3,3
25,No,2,1,2,2,2,3,4,5,5,3,4,5,1
26,No,2,2,3,3,3,2,4,4,4,4,5,5,1
27,No,3,3,2,2,2,2,3,4,2,2,4,5,3
28,No,3,3,2,2,2,2,3,3,4,4,4,4,3
29,Yes,3,4,2,1,1,2,2,3,3,3,2,5,5
30,Yes,4,2,2,1,2,2,2,2,3,4,3,4,2
31,No,2,3,2,3,3,2,3,5,5,4,2,2,1
32,Yes,3,3,2,2,2,2,2,3,2,3,4,3,4
33,No,3,2,1,1,2,2,3,3,4,3,4,1,2
34,No,2,1,2,2,2,3,4,4,4,3,3,3,1
35,No,5,4,1,2,3,2,3,3,3,4,5,5,3
36,No,4,5,1,3,3,2,4,4,2,2,3,5,4
37,No,3,4,2,2,2,2,4,4,3,2,3,3,1
38,Yes,5,5,1,1,1,1,1,2,1,4,1,3,5
39,No,3,2,1,2,2,3,3,5,4,4,3,5,4
40,No,4,2,2,2,2,2,2,2,3,2,4,5,3
41,No,1,1,4,4,4,4,4,5,5,5,3,4,2
42,No,4,5,1,1,2,3,3,3,3,5,4,5,3
43,No,4,4,1,1,1,1,3,3,2,1,3,4,3
44,No,3,3,4,4,4,5,4,3,3,5,3,5,4
45,No,4,4,1,1,2,3,4,4,4,4,3,4,3
46,No,4,4,1,1,2,2,2,4,3,5,4,5,5
47,Yes,4,3,2,2,2,2,3,3,4,4,5,5,3
48,No,5,3,2,2,2,2,3,3,4,4,4,5,4
49,No,4,4,1,1,1,1,3,3,4,4,3,4,4
50,No,3,3,3,3,3,3,3,3,3,3,4,5,3
51,No,4,3,1,1,1,2,3,3,4,5,4,4,3
52,No,1,2,1,1,2,3,4,2,2,4,2,4,5
53,No,4,4,1,1,2,2,2,3,3,4,4,4,4
54,No,3,2,2,2,2,2,3,3,3,3,3,5,2
55,Yes,3,2,1,3,5,2,3,3,3,2,3,4,5
56,No,2,2,1,1,1,2,2,3,2,3,3,4,4
57,No,4,3,1,1,1,2,3,3,2,3,5,5,4
58,No,2,2,2,2,4,4,4,5,5,5,5,5,2
59,Yes,3,3,1,1,1,1,2,2,4,3,3,4,4
60,Yes,3,2,1,1,2,2,3,3,2,2,2,5,5
61,No,2,2,1,1,2,3,3,4,5,5,4,5,3
62,No,4,4,2,2,2,3,2,3,4,1,4,4,2
63,Yes,3,3,1,1,2,2,3,3,3,3,4,5,5
64,No,2,2,2,2,3,3,3,5,4,3,4,4,2
65,No,3,4,2,2,3,3,4,4,4,4,4,4,3
