,"Companion data with the paper ""Investigating the impact of adopting Python and C languages for introductory engineering programming courses"" submitted to Computer Applications in Engineering Education Journal. If you use this data, please include a reference to the paper.",,,,,,,,,,,,,
PYTHON,S1 - Did you have previous programming knowledge before the course?,S2.1 - How confident are you about your programming skills for problem-solving in general?,S2.2 - How confident are you about your programming skills for problem-solving in your study field?,"S3.1 - How difficult you found the topic ""basic algorithm and programming""?","S3.2 - How difficult you found the topic ""sequential programming""?","S3.3 - How difficult you found the topic ""selection programming""?","S3.4 - How difficult you found the topic ""iterative programming""?","S3.5 - How difficult you found the topic ""basic data structures""?","S3.6 - How difficult you found the topic ""sub-programming""?","S3.7 - How difficult you found the topic ""structured data types"" or ""classes and objects""?","S3.8 - How difficult you found the topic ""text files""?",S4.1 - How dedicated were you along the course regarding the theory classes?,S4.2 - How dedicated were you along the course regarding the practice classes?,S5 - How likely are you to keep on studying programming?
1,No,4,4,2,2,2,3,3,4,5,5,3,4,5
2,Yes,4,3,2,2,1,1,2,2,2,2,3,5,4
3,No,4,4,1,1,1,2,2,3,4,3,5,4,5
4,No,4,3,1,1,2,2,3,4,5,5,4,4,4
5,Yes,3,3,3,4,3,3,3,4,5,5,4,4,2
6,No,5,5,1,1,1,1,2,2,2,1,4,4,4
7,No,4,3,2,2,2,3,3,4,4,4,4,4,5
8,No,3,3,3,3,3,3,4,4,4,5,4,5,3
9,No,3,3,2,2,2,2,3,4,4,4,3,4,3
10,Yes,2,3,2,2,3,3,3,3,4,4,4,5,1
11,Yes,3,3,2,2,2,2,3,2,5,3,3,4,5
12,Yes,4,5,2,2,2,2,3,2,4,2,3,3,5
13,No,4,3,1,1,1,1,2,2,4,3,4,5,4
14,No,4,3,2,1,2,2,3,3,3,2,4,4,5
15,No,4,4,4,3,3,3,4,5,5,4,5,5,5
16,No,3,3,2,3,3,3,3,3,3,3,5,5,3
17,No,3,3,1,2,2,2,3,3,5,4,5,5,5
18,Yes,5,5,2,3,2,2,2,2,4,2,4,5,4
19,No,3,2,3,2,2,2,3,3,4,5,4,4,4
20,No,3,4,2,2,2,2,4,3,5,5,3,3,4
21,No,3,2,3,4,2,2,4,4,5,4,4,3,3
22,No,5,4,1,1,1,2,2,3,4,3,4,5,5
23,No,4,4,2,2,2,2,3,3,3,4,3,4,4
24,No,3,3,2,2,2,2,3,4,4,4,4,3,4
25,No,3,2,1,1,1,3,4,4,5,5,3,3,4
26,No,4,3,2,2,2,2,3,3,4,3,3,4,3
27,No,1,1,4,4,4,4,4,4,4,4,1,1,4
28,Yes,4,4,2,2,2,2,2,2,4,4,4,4,3
29,No,3,3,1,1,1,1,2,2,3,2,4,5,2
30,No,5,5,2,2,3,2,5,4,5,5,4,5,1
31,Yes,3,2,2,2,2,2,3,2,3,2,3,4,5
32,No,3,1,2,2,2,2,3,3,4,3,1,2,1
33,Yes,4,2,3,2,1,2,3,3,5,3,3,4,1
34,Yes,5,5,1,1,1,2,3,3,3,3,5,5,5
35,No,3,3,3,3,3,4,4,4,5,4,3,5,5
36,No,5,4,3,1,1,1,1,2,3,3,5,4,4
37,No,3,2,2,2,2,2,3,4,5,3,4,4,4
38,Yes,4,4,1,1,1,1,2,2,4,3,5,5,5
39,No,4,4,1,2,2,3,2,3,4,4,4,4,4
40,Yes,4,5,1,1,1,2,2,2,3,2,3,3,5
41,Yes,4,3,2,2,2,2,3,3,4,4,3,5,5
42,Yes,4,5,2,2,2,3,3,3,4,4,4,4,5
43,No,3,3,2,1,2,2,2,3,4,3,4,3,4
44,No,1,1,3,4,3,4,5,5,5,5,3,3,2
45,No,4,4,1,2,2,2,3,4,5,3,4,4,3
46,No,4,4,3,2,3,3,3,3,3,3,4,4,3
47,No,4,4,3,2,3,3,4,2,3,3,4,4,4
48,No,4,3,2,3,2,2,3,4,4,3,3,5,5
49,No,3,4,3,2,2,2,3,3,3,3,4,4,1
50,No,4,4,1,1,1,1,2,2,3,2,4,4,5
51,No,4,4,2,2,2,2,3,3,3,3,4,5,3
52,No,4,4,2,2,2,2,3,4,3,2,1,4,4
53,Yes,3,4,2,2,2,2,3,3,3,2,5,4,3
54,Yes,4,4,2,3,2,2,4,2,5,3,4,5,4
55,No,4,4,1,1,1,1,2,1,3,1,4,4,4
56,Yes,4,1,1,1,1,1,3,1,3,3,1,4,5
57,No,4,4,1,2,2,2,3,2,3,2,4,4,4
Average,-,3.63,3.37,1.96,1.98,1.95,2.16,2.95,3.00,3.89,3.30,3.65,4.09,3.79
Standard deviation,-,0.84,1.06,0.80,0.83,0.72,0.75,0.79,0.93,0.86,1.07,0.97,0.83,1.22
