,"Companion data with the paper ""Investigating the impact of adopting Python and C languages for introductory engineering programming courses"" submitted to Computer Applications in Engineering Education Journal. If you use this data, please include a reference to the paper.",,
C,Simple programming,Advanced programming,Questionnaires
1,71.43,85.14,80.67
2,98.57,97.86,91.33
3,97.86,98.71,98.33
4,97.50,96.00,66.32
5,97.00,97.14,100.00
6,53.93,54.64,79.83
7,92.14,96.29,82.50
8,88.93,61.64,100.00
9,94.50,96.43,100.00
10,74.29,86.79,100.00
11,89.93,93.64,100.00
12,100.00,98.21,100.00
13,100.00,97.71,100.00
14,97.50,92.14,97.50
15,99.29,82.86,93.89
16,73.71,76.57,83.33
17,99.29,98.57,99.17
18,98.57,96.21,100.00
19,71.79,91.07,90.50
20,46.43,57.14,80.67
21,67.86,67.50,89.21
22,71.43,63.57,98.25
23,100.00,99.64,83.86
24,97.50,99.14,100.00
25,92.50,98.21,100.00
26,99.64,96.43,100.00
27,100.00,100.00,100.00
28,100.00,98.57,100.00
29,76.43,63.43,95.00
30,97.50,95.00,99.33
31,89.14,82.14,80.42
32,99.93,93.21,100.00
33,88.14,87.00,98.33
34,98.57,98.21,100.00
35,97.07,95.71,100.00
36,95.64,93.86,96.48
37,95.00,97.36,100.00
38,72.86,70.71,100.00
39,100.00,99.86,95.56
40,53.93,53.21,80.60
41,98.57,97.14,100.00
42,92.07,85.14,74.72
43,100.00,82.79,100.00
44,89.50,95.00,97.50
45,99.79,99.79,100.00
46,76.21,75.57,80.00
47,96.86,88.57,100.00
48,99.29,99.29,97.50
49,75.36,77.29,100.00
50,99.29,99.14,100.00
51,91.36,91.64,98.15
52,91.50,90.71,100.00
53,100.00,99.93,100.00
54,100.00,92.71,79.25
55,100.00,99.28,97.19
56,76.79,76.79,100.00
57,97.64,92.07,99.17
58,98.36,94.64,31.67
59,95.36,85.57,94.67
60,94.86,90.71,100.00
61,98.57,96.00,100.00
62,98.21,85.36,96.67
63,96.79,97.29,96.67
64,90.71,97.14,100.00
65,87.86,83.57,99.17
66,83.21,83.93,100.00
67,100.00,99.64,97.78
68,93.21,91.07,98.83
69,99.29,98.43,100.00
70,96.43,79.29,97.19
71,92.86,97.86,100.00
72,27.85,21.07,66.66
73,52.14,47.14,98.83
74,74.64,64.79,100.00
75,98.21,95.36,78.07
76,98.79,96.86,100.00
77,95.36,96.07,100.00
78,75.36,67.86,88.37
79,93.00,95.00,100.00
80,84.29,89.64,74.81
Average,89.32,87.56,93.80
Standard deviation,14.51,14.92,11.14
