,"Companion data with the paper ""Investigating the impact of adopting Python and C languages for introductory engineering programming courses"" submitted to Computer Applications in Engineering Education Journal. If you use this data, please include a reference to the paper.",,
PYTHON,Simple programming,Advanced programming,Questionnaires
1,80.00,81.43,88.65
2,100.00,100.00,95.24
3,63.57,82.14,80.79
4,84.43,74.29,98.10
5,84.79,85.71,52.30
6,77.86,83.21,93.65
7,98.57,100.00,98.45
8,76.00,67.50,50.32
9,100.00,99.29,82.66
10,81.07,73.93,86.39
11,85.86,90.36,79.25
12,90.71,80.00,92.86
13,96.79,96.79,98.33
14,100.00,89.43,79.40
15,99.29,100.00,90.48
16,97.86,99.29,93.25
17,70.00,72.50,42.70
18,94.29,87.50,84.17
19,92.86,90.71,99.52
20,71.43,71.07,46.90
21,90.71,65.36,87.06
22,74.29,70.00,62.66
23,80.71,66.79,79.37
24,88.57,94.29,78.89
25,98.93,92.86,75.32
26,82.86,97.50,81.90
27,89.64,85.71,71.90
28,96.79,85.00,86.19
29,98.57,95.71,79.13
30,96.79,100.00,89.84
31,96.43,88.43,89.05
32,80.36,70.36,57.94
33,96.86,99.29,72.54
34,74.29,74.64,65.87
35,83.36,74.29,64.44
36,93.57,93.21,92.90
37,99.64,92.86,94.76
38,91.43,80.21,76.59
39,95.62,96.62,90.88
40,87.69,97.54,72.78
41,86.00,67.15,73.33
42,99.46,99.46,99.31
43,97.69,99.23,96.39
44,89.77,72.92,100.00
45,97.69,97.69,95.74
46,65.77,62.15,69.03
47,63.69,48.69,91.48
48,87.54,72.00,62.82
49,97.69,96.23,94.95
50,90.62,74.31,100.00
51,93.85,93.38,79.44
52,88.46,82.77,86.11
53,88.08,83.46,97.96
54,86.54,68.46,81.44
55,66.54,55.62,81.85
56,72.31,67.69,96.02
57,87.69,76.77,82.04
58,84.46,85.85,79.49
59,90.00,83.46,86.20
Average,87.73,83.61,82.32
Standard deviation,10.24,12.93,14.14
